Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17
Ajak,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,Kisvárda,"3","3","214781.28","961349337.84",,,,,,,,,
Ajka,Veszprém megye,Veszprém megye 3. számú egyéni választókerület,Tapolca,"3","3","233150.16","1119123839.6",,,,,,,,,
Aka,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Akasztó,Bács-Kiskun megye,Bács-Kiskun megye 3. számú egyéni választókerület,Kalocsa,"3","3","241811.87","1478945666.42",,,,,,,,,
Alacska,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Alap,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Alattyán,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 2. számú egyéni választókerület,Jászberény,"2","2","232654.66","1311394636.3",,,,,,,,,
Albertirsa,Pest megye,Pest megye 10. számú egyéni választókerület,Monor,"10","10","174608.84","822113260.42",,,,,,,,,
Alcsútdoboz,Fejér megye,Fejér megye 3. számú egyéni választókerület,Bicske,"3","3","219689.81","1205529615.78",,,,,,,,,
Aldebrő,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Algyő,Csongrád megye,Csongrád megye 4. számú egyéni választókerület,Hódmez?vásárhely,"4","4","226575.24","1412615266.57",,,,,,,,,
Alibánfa,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Almamellék,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Almásfüzitő,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Almásháza,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Almáskamarás,Békés megye,Békés megye 4. számú egyéni választókerület,Orosháza,"4","4","243942.22","1650630924.98",,,,,,,,,
Almáskeresztúr,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Álmosd,Hajdú-Bihar megye,Hajdú-Bihar megye 3. számú egyéni választókerület,Debrecen,"3","3","234223.12","904774489.06",,,,,,,,,
Alsóberecki,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Alsóbogát,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Alsódobsza,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Alsógagy,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Alsómocsolád,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Alsónána,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Alsónémedi,Pest megye,Pest megye 11. számú egyéni választókerület,Dabas,"11","11","169482.84","909250604.8",,,,,,,,,
Alsónemesapáti,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Alsónyék,Tolna megye,Tolna megye 1. számú egyéni választókerület,Szekszárd,"1","1","183808.64","836435692.1",,,,,,,,,
Alsóörs,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Alsópáhok,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Alsópetény,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Alsórajk,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Alsóregmec,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Alsószenterzsébet,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Alsószentiván,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Alsószentmárton,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Alsószölnök,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Alsószuha,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Alsótelekes,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Alsótold,Nógrád megye,Nógrád megye 1. számú egyéni választókerület,Salgótarján,"1","1","245875.8","952705607.42",,,,,,,,,
Alsóújlak,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Alsóvadász,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Alsózsolca,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 1. számú egyéni választókerület,Miskolc,"1","1","84784.45","152004724.08",,,,,,,,,
Ambrózfalva,Csongrád megye,Csongrád megye 4. számú egyéni választókerület,Hódmez?vásárhely,"4","4","226575.24","1412615266.57",,,,,,,,,
Anarcs,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,Kisvárda,"3","3","214781.28","961349337.84",,,,,,,,,
Andocs,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Andornaktálya,Heves megye,Heves megye 1. számú egyéni választókerület,Eger,"1","1","217370.11","1044337089.15",,,,,,,,,
Andrásfa,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Annavölgy,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Apácatorna,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Apagy,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,Mátészalka,"5","5","250856.48","1030794528.1",,,,,,,,,
Apaj,Pest megye,Pest megye 11. számú egyéni választókerület,Dabas,"11","11","169482.84","909250604.8",,,,,,,,,
Aparhant,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Apátfalva,Csongrád megye,Csongrád megye 4. számú egyéni választókerület,Hódmez?vásárhely,"4","4","226575.24","1412615266.57",,,,,,,,,
Apátistvánfalva,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Apátvarasd,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Apc,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Áporka,Pest megye,Pest megye 11. számú egyéni választókerület,Dabas,"11","11","169482.84","909250604.8",,,,,,,,,
Apostag,Bács-Kiskun megye,Bács-Kiskun megye 3. számú egyéni választókerület,Kalocsa,"3","3","241811.87","1478945666.42",,,,,,,,,
Aranyosapáti,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Aranyosgadány,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Arka,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Arló,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Arnót,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 1. számú egyéni választókerület,Miskolc,"1","1","84784.45","152004724.08",,,,,,,,,
Ároktő,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Árpádhalom,Csongrád megye,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79",,,,,,,,,
Árpás,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Ártánd,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Ásotthalom,Csongrád megye,Csongrád megye 2. számú egyéni választókerület,Szeged,"2","2","154914.43","815557155.25",,,,,,,,,
Ásványráró,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 5. számú egyéni választókerület,Mosonmagyaróvár,"5","5","192506.63","1106619646.19",,,,,,,,,
Aszaló,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Ászár,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Aszód,Pest megye,Pest megye 6. számú egyéni választókerület,Gödöll?,"6","6","151799.27","437040357.1",,,,,,,,,
Aszófő,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Áta,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Átány,Heves megye,Heves megye 1. számú egyéni választókerület,Eger,"1","1","217370.11","1044337089.15",,,,,,,,,
Atkár,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Attala,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Babarc,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Babarcszőlős,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Babócsa,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Bábolna,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Bábonymegyer,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Babosdöbréte,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Babót,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Bácsalmás,Bács-Kiskun megye,Bács-Kiskun megye 5. számú egyéni választókerület,Kiskunhalas,"5","5","260428.06","1888189855.92",,,,,,,,,
Bácsbokod,Bács-Kiskun megye,Bács-Kiskun megye 6. számú egyéni választókerület,Baja,"6","6","277807.08","1428092680.64",,,,,,,,,
Bácsborsód,Bács-Kiskun megye,Bács-Kiskun megye 6. számú egyéni választókerület,Baja,"6","6","277807.08","1428092680.64",,,,,,,,,
Bácsszentgyörgy,Bács-Kiskun megye,Bács-Kiskun megye 6. számú egyéni választókerület,Baja,"6","6","277807.08","1428092680.64",,,,,,,,,
Bácsszőlős,Bács-Kiskun megye,Bács-Kiskun megye 5. számú egyéni választókerület,Kiskunhalas,"5","5","260428.06","1888189855.92",,,,,,,,,
Badacsonytomaj,Veszprém megye,Veszprém megye 3. számú egyéni választókerület,Tapolca,"3","3","233150.16","1119123839.6",,,,,,,,,
Badacsonytördemic,Veszprém megye,Veszprém megye 3. számú egyéni választókerület,Tapolca,"3","3","233150.16","1119123839.6",,,,,,,,,
Bag,Pest megye,Pest megye 6. számú egyéni választókerület,Gödöll?,"6","6","151799.27","437040357.1",,,,,,,,,
Bagamér,Hajdú-Bihar megye,Hajdú-Bihar megye 3. számú egyéni választókerület,Debrecen,"3","3","234223.12","904774489.06",,,,,,,,,
Baglad,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Bagod,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Bágyogszovát,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Baj,Komárom-Esztergom megye,Komárom-Esztergom megye 1. számú egyéni választókerület,Tatabánya,"1","1","100023.62","222408632.16",,,,,,,,,
Baja,Bács-Kiskun megye,Bács-Kiskun megye 6. számú egyéni választókerület,Baja,"6","6","277807.08","1428092680.64",,,,,,,,,
Bajánsenye,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Bajna,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Bajót,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Bak,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Bakháza,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Bakóca,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Bakonszeg,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Bakonya,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Bakonybánk,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Bakonybél,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Bakonycsernye,Fejér megye,Fejér megye 2. számú egyéni választókerület,Székesfehérvár,"2","2","188213.17","882699117.23",,,,,,,,,
Bakonygyirót,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96",,,,,,,,,
Bakonyjákó,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Bakonykoppány,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Bakonykúti,Fejér megye,Fejér megye 2. számú egyéni választókerület,Székesfehérvár,"2","2","188213.17","882699117.23",,,,,,,,,
Bakonynána,Veszprém megye,Veszprém megye 1. számú egyéni választókerület,Veszprém,"1","1","195803.99","767050984.35",,,,,,,,,
Bakonyoszlop,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Bakonypéterd,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96",,,,,,,,,
Bakonypölöske,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Bakonyság,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Bakonysárkány,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Bakonyszentiván,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Bakonyszentkirály,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Bakonyszentlászló,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96",,,,,,,,,
Bakonyszombathely,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Bakonyszücs,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Bakonytamási,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Bakópuszta,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Baks,Csongrád megye,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79",,,,,,,,,
Baksa,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Baktakék,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Baktalórántháza,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,Mátészalka,"5","5","250856.48","1030794528.1",,,,,,,,,
Baktüttös,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Balajt,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Balassagyarmat,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Balástya,Csongrád megye,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79",,,,,,,,,
Balaton,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Balatonakali,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Balatonakarattya,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Balatonalmádi,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Balatonberény,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Balatonboglár,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Balatoncsicsó,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Balatonederics,Veszprém megye,Veszprém megye 3. számú egyéni választókerület,Tapolca,"3","3","233150.16","1119123839.6",,,,,,,,,
Balatonendréd,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Balatonfenyves,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Balatonfőkajár,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Balatonföldvár,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Balatonfüred,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Balatonfűzfő,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Balatongyörök,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Balatonhenye,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Balatonkenese,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Balatonkeresztúr,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Balatonlelle,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Balatonmagyaród,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Balatonmáriafürdő,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Balatonőszöd,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Balatonrendes,Veszprém megye,Veszprém megye 3. számú egyéni választókerület,Tapolca,"3","3","233150.16","1119123839.6",,,,,,,,,
Balatonszabadi,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
